slug,title,description,stripe_url,payment_link_id,product_id,price_id,suggested_amount,minimum_amount,maximum_amount,image,category,reused_product,reused_payment_link
general-contribution,Crowned K9s Registry — General Contribution,"A general gift of love for our growing pack. Goes wherever it's needed most — essentials, medical costs, or simply time to rest and bond as a family.",https://donate.stripe.com/8x26oH0T3d2A1pW3GM4wM0X,plink_1TTWESHztIc6KVLeThk7AGJe,prod_UNxJ5kLpYN1py8,price_1TTWERHztIc6KVLehayblL9N,2500,500,100000,,,true,false
feeding-fund,Feeding Fund — Our Pack Is Growing,"Bottles, breastfeeding support, burp cloths, and feeding tools for the early months.",https://donate.stripe.com/8x214nfNX6Ec3y40uA4wM0Y,plink_1TTWEUHztIc6KVLeKfzGM8IU,prod_UNxJdro90FnTID,price_1TTWETHztIc6KVLeW4z9ZedP,2500,500,50000,,Feeding,true,false
sleeping-fund,Sleeping Fund — Our Pack Is Growing,"Bassinet, swaddles, sleep monitor, and everything that helps baby rest safely at night.",https://donate.stripe.com/eVq28r31bfaIc4Adhm4wM0Z,plink_1TTWEWHztIc6KVLelq6v93dM,prod_UNxJ7HC88sy3Fw,price_1TTWEVHztIc6KVLeLFBD1bsb,5000,500,100000,,Sleeping,true,false
diapering-fund,Diapering Fund — Our Pack Is Growing,"Diapers, wipes, changing pad, diaper pail, and everything for clean diaper days.",https://donate.stripe.com/8x23cv6dn1jS5Gc5OU4wM10,plink_1TTWEXHztIc6KVLeC7P3wtJr,prod_UNxJRjy5SXrDVO,price_1TTWEXHztIc6KVLeJ2exexch,2500,500,50000,,Diapering,true,false
baby-gear-fund,Baby Gear Fund — Our Pack Is Growing,"Car seat, stroller, carrier, playard — the bigger-ticket gear that makes life with baby possible.",https://donate.stripe.com/fZu6oHeJT4w46Kg1yE4wM11,plink_1TTWEZHztIc6KVLegVeZUMSU,prod_UNxJqfV2TKpeHt,price_1TTWEYHztIc6KVLeSjmZBKxi,5000,500,100000,,Baby gear,true,false
health-safety-fund,Health & Safety Fund — Our Pack Is Growing,"Thermometer, nasal aspirator, pacifiers, choking rescue kit, and postpartum recovery essentials.",https://donate.stripe.com/fZuaEX59jfaId8Ecdi4wM12,plink_1TTWEbHztIc6KVLe4QPjz150,prod_UOBBMQgS69eyXO,price_1TTWEaHztIc6KVLePzncPtLi,2500,500,50000,,Health & safety,true,false
bathing-fund,Bathing Fund — Our Pack Is Growing,"Hooded towels, baby wash, bath rinser — the things that make first baths warm and cozy.",https://donate.stripe.com/dRmcN5atD9Qo9Ws0uA4wM13,plink_1TTWEcHztIc6KVLe25Y17FUH,prod_UOBBaVbm5hrVDt,price_1TTWEbHztIc6KVLeR7WvDm8K,1500,500,20000,,Bathing,true,false
clothing-fund,Clothing Fund — Our Pack Is Growing,"Onesies, sleep-and-plays, hats, socks, and all the tiny layers babies grow out of in a blink.",https://donate.stripe.com/14AbJ1cBL8Mkd8Eelq4wM14,plink_1TTWEeHztIc6KVLeqo8l8nrN,prod_UOBBmVbQRthT6u,price_1TTWEdHztIc6KVLelrWpK8mz,2500,500,50000,,Clothing,true,false
playing-fund,Playing Fund — Our Pack Is Growing,"Play couch and other comfy, creative essentials for the days baby starts exploring.",https://donate.stripe.com/28EfZh7hr3s07Okb9e4wM15,plink_1TTWEfHztIc6KVLenDKCBGuP,prod_UOBBMh249L20WD,price_1TTWEeHztIc6KVLerPaJ3hvG,2500,500,30000,,Playing,true,false
gift-cards-fund,Gift Cards Fund — Our Pack Is Growing,A flexible lane for Babylist and baby-store gift cards so we can grab exactly what we still need.,https://donate.stripe.com/3cI9ATeJT7IgecIgty4wM16,plink_1TTWEhHztIc6KVLeacU2BHXB,prod_UOBByvefcXxhjW,price_1TTWEgHztIc6KVLea1bOH06L,2500,500,100000,,Cash & gift cards,true,false
